ICAO,ISO2
BIIS,IS
BIRK,IS
BIVM,IS
BIKF,IS
BIVO,IS
EBLG,BE
EDDG,DE
EDDK,DE
EDDP,DE
EDDV,DE
EDDW,DE
EDSB,DE
EGCC,GB
EGFF,GB
EGGW,GB
EGLC,GB
EGNR,GB
EGNV,GB
EGNX,GB
EGPC,GB
EGPD,GB
EGPE,GB
EGPK,GB
EGSS,GB
EGWU,GB
EKBI,DK
EKRK,DK
EKSB,DK
EKVG,DK
EKYT,DK
ENBR,NO
ENRY,NO
ENSB,NO
ENTC,NO
EPMO,PL
EPRZ,PL
EPWA,PL
ESGG,SE
ESKN,SE
ESNL,SE
ESNU,SE
ESSV,SE
ESTA,SE
GMMX,MA
LDDU,HR
LDZD,HR
LEAL,ES
LEAM,ES
LEIB,ES
LEJR,ES
LESO,ES
LFBD,FR
LFLP,FR
LFMT,FR
LFSB,FR
LIBR,IT
LICT,IT
LIEO,IT
LIMP,IT
LIPK,IT
LIPO,IT
LIRZ,IT
LJLJ,SI
LLBG,IL
LMML,MT
LOWS,AT
LPFR,PT
LPPR,PT
LPPT,PT
LQMO,BA
LRBC,RO
LROP,RO
LSGG,CH
LKPR,CZ
EPPO,PL
EBBR,BE
LHBP,HU
EGPH,GB
EGKK,GB
EDDB,DE
LDRI,HR
EGGP,GB
LECH,ES
LYBE,RS
LIMC,IT
EETN,EE
ESSA,SE
EGSH,GB
LIRN,IT
LIBD,IT
LFJL,FR
LTFH,TR
LBPD,BG
LFMV,FR
UGTB,GE
EYKA,LT
LIPE,IT
EDVK,DE
EGBB,GB
LOWG,AT
EDDH,DE
LTFM,TR
LEBL,ES
EGGD,GB
LEMG,ES
LPMA,PT
EYVI,LT
LEVC,ES
LEMH,ES
ENML,NO
LTCG,TR
LPBJ,PT
LIPZ,IT
LIML,IT
LIPR,IT
LEBB,ES
LICA,IT
LICJ,IT
LTBA,TR
LFRG,FR
EGMC,GB
EBOS,BE
LFPO,FR
LFPB,FR
EFHK,FI
EGNT,GB
EGPF,GB
LFSD,FR
EGJJ,GB
BITN,IS
EVRA,LV
EDDM,DE
LICC,IT
LIME,IT
LDPL,HR
EFKT,FI
EDDS,DE
ESSB,SE
LKKV,CZ
LBBG,BG
LUKK,MD
LKTB,CZ
LOWW,AT
EDDF,DE
ELLX,LU
EGLL,GB
EINN,IE
LFPG,FR
LEMD,ES
EGHH,GB
BIKR,IS
EHAM,NL
LKMT,CZ
LIPX,IT
LDZA,HR
LTAI,TR
EDDN,DE
EGTE,GB
LWSK,MK
LCLK,CY
EDFH,DE
LGSA,GR
ENZV,NO
EYPA,LT
EDDL,DE
ENAL,NO
LIRA,IT
EKAH,DK
LZKZ,SK
LEZL,ES
LSZH,CH
EGKB,GB
LDSP,HR
EGAA,GB
EGNM,GB
EIDW,IE
ENGM,NO
EKCH,DK
EPKT,PL
EGHI,GB
LOWK,AT
EPGD,PL
LRSM,RO
LIRF,IT
LOWI,AT
LFMN,FR
LIMJ,IT
LIRP,IT
LGAV,GR
LEPA,ES
LFBO,FR
LYTV,ME
EGLF,GB
LFML,FR
EPKK,PL
EHRD,NL
EBMB,BE
ENBO,NO
EHEH,NL
EDRY,DE
EHBK,NL
ESMX,SE
LATI,AL
LBSF,BG
LDOS,HR
LFKJ,FR
LFLL,FR
LGTS,GR
LIEE,IT
LOAN,AT
LOWL,AT
LRBS,RO
LSZA,CH
LTBJ,TR
LTFE,TR
EVGA,LV
LSGL,CH
EDMO,DE
LTAU,TR
LRIA,RO
LGIR,GR
EPLB,PL
LEMI,ES
LGKR,GR
LFTH,FR
LTBU,TR
LWOH,MK
ESMT,SE
LGIO,GR
EDNY,DE
LFRS,FR
ENTO,NO
LGMK,GR
ESMS,SE
LQSA,BA
EGVN,GB
LSGS,CH
LIRQ,IT
LSZS,CH
LSME,CH
UDYZ,AM
EDFE,DE
EDLW,DE
LHDC,HU
EDLP,DE
LZTT,SK
LSZB,CH
LGKO,GR
LFMD,FR
LTFJ,TR
LTAC,TR
EDJA,DE
EFTP,FI
LIRI,IT
LFLX,FR
EDHL,DE
EDLN,DE
EGNH,GB
EGNO,GB
EKKA,DK
